Species,ID,Sex,Location
Green,T13588,M,Atlantic
Green,T13590,M,Atlantic
Green,T13765,F,Atlantic
Green,T13769,F,Atlantic
Green,T13776,F,Atlantic
Green,T13796,F,Atlantic
Green,T13983,M,Atlantic
Green,T13987,F,GOM
Green,T13994,M,Atlantic
Loggerhead,T12951,F,GOM
Loggerhead,T12953,M,GOM
Loggerhead,T12954,F,Atlantic
Loggerhead,T12956,M,GOM
Loggerhead,T12957,F,GOM
Loggerhead,T13326,F,Atlantic
Loggerhead,T13327,F,GOM
Loggerhead,T13328,M,Atlantic
Loggerhead,T13771,F,Atlantic
Loggerhead,T13982,M,Atlantic
Loggerhead,T13992,F,Atlantic